PIN,Angle between B and C,Angle between B and E,Angle between B and F,Angle between C and E,Angle between C and F,Angle between the projections of B and C on the z=0 plane,Angle between the projections of B and F on the z=0 plane,Angle between the projections of C and E on the z=0 plane,Angle of B strand vector to x axis,Angle of B strand vector to y axis,Angle of B strand vector to z axis,Angle of C strand vector to x axis,Angle of C strand vector to y axis,Angle of C strand vector to z axis,Angle of E strand vector to x axis,Angle of E strand vector to y axis,Angle of E strand vector to z axis,Angle of F strand vector to x axis,Angle of F strand vector to y axis,Angle of F strand vector to z axis,Distance of Center of Mass of B from plane,Distance of Center of Mass of C from plane,Distance of Center of Mass of E from plane,Distance of Center of Mass of F from plane
4OH2_A_1_to_152,2.197428901425159,2.9090157160141725,0.8411366981866759,0.7751720783214022,2.6813862946193963,2.260246692833144,0.8522220671313313,0.7689699238335612,-0.2845440319756425,1.2503997435615024,-0.1432672350901565,-0.2845440319756425,1.2503997435615024,-0.1432672350901565,0.3991751577159119,-1.1665385266601134,-0.060519858029757,-1.0760971468182916,0.4166560049276864,-0.2508516113766303,0.2646195239875822,2.815473365524287,1.5619743307538927,2.1962760179314795
4U7M_A_495_to_597,2.258727132891369,2.798643388868197,0.4617785857695456,0.6857118980966,2.598685733812632,2.5171674583350416,0.4539928321643003,0.6420887697727039,-0.0593360114452301,1.31957461087825,-0.2438192672160795,-0.0593360114452301,1.31957461087825,-0.2438192672160795,0.0432714465000547,-1.4629875995289927,-0.0986817182535495,-0.5108101220374675,1.0422893229510437,-0.1238271247216054,0.7255344870140767,1.1563033171917303,5.677208197917992,1.896626711180776
6WIT_B_111_to_207,2.514058546963327,2.7491368076255123,0.4569396393005413,0.4506768764619437,2.871104056856862,2.7347992164786485,0.4103965829601602,0.4497031772087903,-0.0072991990469881,1.3240959888707118,-0.2465878255829217,-0.0072991990469881,1.3240959888707118,-0.2465878255829217,-0.0350187636355598,-1.4229775343765685,-0.1435515973243715,-0.4176378502159685,1.1514268393154503,-0.0358683434989688,3.281226026694984,0.2297758683636558,7.047744959651514,2.0163815755410495
3QQD_A_2_to_152,2.1873805647540507,2.9071728126117233,0.8576926697454904,0.7835593474363634,2.680196411958518,2.2467319353609434,0.8677111128066373,0.7793550044901182,0.0205954437285158,-1.433237239341579,-0.1359891694144444,0.0205954437285158,-1.433237239341579,-0.1359891694144444,-0.135974751153445,1.41850885685587,-0.0681503282326236,0.8505977164444899,-0.6569599017248007,-0.2516775919613792,5.155059307065199,0.6876667764663426,0.9679878344150868,3.5910209774576516
5DYO_A_117_to_210,2.5204381069831623,2.8688856371161786,0.3390864725884111,0.3662532058622142,2.6962594316511677,2.758190774820694,0.3384536832878004,0.2855235095249473,1.222186456665554,-0.3080782876991592,-0.1579378361793972,1.222186456665554,-0.3080782876991592,-0.1579378361793972,-1.3360666079104124,0.2131963039058135,-0.0967185146362701,1.4595709348324548,0.0262085529098659,-0.1080685916867469,0.8125045352025548,1.6569690987369463,5.649042270608476,4.509074862668249
8GY5_Q_35_to_146,2.3055493815517503,2.7802028479785075,0.559243485626155,0.6662689210863413,2.7129088687575367,2.439291179389494,0.5634355351556598,0.6762223063924973,0.3106511450317659,1.2049469618019106,-0.1869370670016781,0.3106511450317659,1.2049469618019106,-0.1869370670016781,-0.2857869311862471,-1.2338782045122452,-0.1735208084698365,-0.2450104190999529,1.2929392742955774,-0.128413400113017,1.3027622443661746,1.3200805730464686,3.482127173825637,3.4757174580352994
5FXC_H_2_to_111,2.139201513904722,2.831537792432462,0.529852019278468,0.7991147483154711,2.587427355228626,2.243430054108554,0.5289392258482536,0.8114683308245844,-0.013174338657536,1.4539992226948943,-0.1160449575201607,-0.013174338657536,1.4539992226948943,-0.1160449575201607,0.0983060279155008,-1.3636384467416796,-0.1817502553895509,-0.5411492160372227,1.0256965778118845,-0.0591594692310781,1.2620538063189952,1.9239239696448904,2.2875542220246445,1.31850287654036
1OLL_A_99_to_188,2.17447799299275,2.7996202526041,0.684726417037496,0.6615830050468616,2.465685468520186,2.3544557873388983,0.7312429600717006,0.600870071627129,-0.1773621255542936,-1.195752110810278,-0.3268112547365087,-0.1773621255542936,-1.195752110810278,-0.3268112547365087,0.0011212594410792,1.5331922664351982,0.0375873242979303,0.4915181242348292,-0.8954956942261552,-0.4223727682315978,6.499320183611709,1.5919022357951296,0.2651728251438863,0.6096709959091609
3BP5_A_1_to_113,2.2831210605532815,2.8067713629811895,0.5363389613542113,0.6983362662681425,2.544148795282387,2.3842676346905893,0.5324086449035765,0.7110529356120561,0.0741488013739162,-1.3983471947141628,-0.1554055781280161,0.0741488013739162,-1.3983471947141628,-0.1554055781280161,-0.1194387777629788,1.3571952163226113,-0.1762329121220616,0.5780388901847404,-0.9042991121991456,-0.2934741971911718,4.630282905124712,1.3237447141726282,2.1074952747604576,1.435298486788945
7WYZ_B_77_to_305,2.190449127711727,2.6670603411421316,0.5597326083547389,0.6792000662837302,2.5983841982106854,2.337813560882966,0.5736609060228777,0.7000879201997681,1.0601725679419949,0.4417615411658826,-0.2390499960145142,1.0601725679419949,0.4417615411658826,-0.2390499960145142,-0.9726605927106444,-0.5437450874698984,-0.224223890890109,0.5284635618044096,0.9941910285885096,-0.2088746000163499,1.5066468667507529,5.069117162380091,5.632473366739788,7.529138289193354
